,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.489,0.233,4.091,4.939,478.0,1386.0,1.01
beta,1.917,0.066,1.795,2.041,41664.0,18265.0,1.0
sigma_u,0.761,0.268,0.301,1.248,410.0,1112.0,1.01
sigma_v,1.388,0.074,1.246,1.525,702.0,1380.0,1.01
U[0],0.875,0.683,0.0,2.11,1246.0,3340.0,1.0
U[1],0.357,0.312,0.0,0.924,10708.0,11812.0,1.0
U[2],0.605,0.494,0.0,1.513,2285.0,5147.0,1.0
U[3],0.602,0.492,0.0,1.505,2413.0,4812.0,1.0
U[4],0.953,0.72,0.0,2.258,1003.0,2910.0,1.0
U[5],0.615,0.494,0.0,1.512,1992.0,5272.0,1.0
U[6],0.427,0.365,0.0,1.097,6644.0,9587.0,1.0
U[7],0.641,0.522,0.0,1.592,2122.0,4938.0,1.0
U[8],0.586,0.478,0.0,1.467,2555.0,6098.0,1.0
U[9],0.449,0.381,0.0,1.14,4042.0,9925.0,1.0
U[10],0.595,0.483,0.0,1.472,2578.0,6723.0,1.0
U[11],0.692,0.549,0.0,1.687,1777.0,4802.0,1.0
U[12],0.769,0.601,0.0,1.86,1556.0,3689.0,1.0
U[13],0.502,0.413,0.0,1.256,3708.0,8441.0,1.0
U[14],0.633,0.514,0.0,1.575,2129.0,5309.0,1.0
U[15],0.449,0.383,0.0,1.139,4827.0,9127.0,1.0
U[16],0.839,0.655,0.0,2.028,1253.0,3117.0,1.0
U[17],0.635,0.509,0.0,1.561,2163.0,5916.0,1.0
U[18],0.469,0.399,0.0,1.203,5213.0,7546.0,1.0
U[19],0.57,0.467,0.0,1.415,2413.0,6686.0,1.0
U[20],0.653,0.529,0.0,1.608,1896.0,4911.0,1.0
U[21],0.563,0.463,0.0,1.405,2882.0,6174.0,1.0
U[22],0.779,0.614,0.0,1.898,1407.0,3861.0,1.0
U[23],0.47,0.395,0.0,1.198,4594.0,8411.0,1.0
U[24],0.566,0.465,0.0,1.398,2563.0,5621.0,1.0
U[25],0.497,0.411,0.0,1.246,4170.0,8111.0,1.0
U[26],0.537,0.446,0.0,1.351,3296.0,6939.0,1.0
U[27],1.0,0.757,0.0,2.383,1031.0,2606.0,1.0
U[28],0.4,0.347,0.0,1.025,6638.0,9954.0,1.0
U[29],0.635,0.516,0.0,1.577,2058.0,5280.0,1.0
U[30],0.469,0.394,0.0,1.189,4382.0,8276.0,1.0
U[31],0.62,0.503,0.0,1.531,2236.0,5166.0,1.0
U[32],0.482,0.404,0.0,1.226,4969.0,8841.0,1.0
U[33],0.583,0.481,0.0,1.467,2568.0,5767.0,1.0
U[34],0.452,0.386,0.0,1.162,4869.0,8714.0,1.0
U[35],0.616,0.503,0.0,1.536,2270.0,5047.0,1.0
U[36],0.862,0.661,0.0,2.073,1207.0,3240.0,1.0
U[37],0.74,0.583,0.0,1.8,1604.0,4484.0,1.0
U[38],0.587,0.486,0.0,1.479,2369.0,6622.0,1.0
U[39],0.537,0.445,0.0,1.347,3508.0,8641.0,1.0
U[40],0.421,0.359,0.0,1.072,6705.0,9503.0,1.0
U[41],0.497,0.42,0.0,1.266,3916.0,8035.0,1.0
U[42],0.736,0.582,0.0,1.805,1556.0,4067.0,1.0
U[43],0.75,0.595,0.0,1.832,1607.0,3728.0,1.0
U[44],0.443,0.375,0.0,1.128,4754.0,10557.0,1.0
U[45],0.472,0.401,0.0,1.196,4551.0,8475.0,1.0
U[46],0.636,0.51,0.0,1.559,2046.0,5571.0,1.0
U[47],0.627,0.504,0.0,1.54,2235.0,5799.0,1.0
U[48],0.454,0.387,0.0,1.157,4943.0,7942.0,1.0
U[49],0.681,0.556,0.0,1.696,1893.0,4333.0,1.0
U[50],0.731,0.576,0.0,1.781,1729.0,4131.0,1.0
U[51],0.352,0.306,0.0,0.902,8793.0,11292.0,1.0
U[52],0.473,0.4,0.0,1.208,4562.0,9599.0,1.0
U[53],0.496,0.421,0.0,1.267,4264.0,7765.0,1.0
U[54],0.789,0.616,0.0,1.9,1413.0,3630.0,1.0
U[55],0.691,0.554,0.0,1.702,1648.0,4418.0,1.0
U[56],0.567,0.464,0.0,1.411,2558.0,7405.0,1.0
U[57],0.396,0.335,0.0,1.007,5900.0,9798.0,1.0
U[58],0.792,0.633,0.0,1.958,1541.0,3076.0,1.0
U[59],0.462,0.389,0.0,1.164,3820.0,8502.0,1.0
U[60],0.596,0.487,0.0,1.482,2265.0,5200.0,1.0
U[61],0.357,0.309,0.0,0.923,9358.0,12470.0,1.0
U[62],0.57,0.472,0.0,1.432,2739.0,6009.0,1.0
U[63],0.355,0.31,0.0,0.923,9118.0,11863.0,1.0
U[64],0.809,0.628,0.0,1.946,1362.0,3062.0,1.0
U[65],0.633,0.51,0.0,1.564,2005.0,4770.0,1.0
U[66],0.705,0.562,0.0,1.743,1597.0,4394.0,1.0
U[67],0.507,0.425,0.0,1.273,4270.0,7764.0,1.0
U[68],0.617,0.503,0.0,1.548,2077.0,5022.0,1.0
U[69],0.387,0.339,0.0,0.999,7041.0,11796.0,1.0
U[70],0.51,0.428,0.0,1.293,3560.0,6968.0,1.0
U[71],0.625,0.514,0.0,1.564,2148.0,5402.0,1.0
U[72],0.557,0.459,0.0,1.384,2656.0,6607.0,1.0
U[73],0.59,0.481,0.0,1.465,2660.0,6438.0,1.0
U[74],0.626,0.51,0.0,1.564,2293.0,5245.0,1.0
U[75],0.494,0.414,0.0,1.239,3869.0,5999.0,1.0
U[76],0.81,0.633,0.0,1.975,1287.0,3498.0,1.0
U[77],0.808,0.634,0.0,1.979,1324.0,3371.0,1.0
U[78],0.704,0.563,0.0,1.733,1597.0,4323.0,1.0
U[79],0.608,0.502,0.0,1.51,2514.0,5279.0,1.0
U[80],1.104,0.822,0.0,2.61,852.0,2512.0,1.0
U[81],0.781,0.609,0.0,1.886,1483.0,3891.0,1.0
U[82],0.498,0.416,0.0,1.256,4230.0,9156.0,1.0
U[83],0.417,0.358,0.0,1.07,6230.0,10443.0,1.0
U[84],0.653,0.528,0.0,1.611,1905.0,4317.0,1.0
U[85],0.618,0.503,0.0,1.544,2271.0,4531.0,1.0
U[86],0.705,0.57,0.0,1.747,1842.0,4454.0,1.0
U[87],0.804,0.638,0.0,1.976,1322.0,3467.0,1.0
U[88],0.426,0.364,0.0,1.088,5949.0,10235.0,1.0
U[89],0.797,0.63,0.0,1.948,1466.0,3354.0,1.0
U[90],0.775,0.605,0.0,1.863,1396.0,3912.0,1.0
U[91],0.687,0.549,0.0,1.694,1833.0,4719.0,1.0
U[92],0.394,0.34,0.0,1.014,6747.0,11332.0,1.0
U[93],0.66,0.532,0.0,1.621,1946.0,4749.0,1.0
U[94],0.568,0.467,0.0,1.415,2902.0,7225.0,1.0
U[95],0.557,0.464,0.0,1.401,2794.0,6604.0,1.0
U[96],0.4,0.346,0.0,1.039,7465.0,10962.0,1.0
